Country,GDP per capita,Life satisfaction
Mexico,9009.28,6.6
Russia,9054.914,6.0
Turkey,9437.372,5.5
Hungary,12239.893999999998,5.3
Chile,13340.905,6.7
Slovak Republic,15991.736,6.1
Czech Republic,17256.918,6.6
Estonia,17288.083,5.6
Greece,18064.288,5.2
Portugal,19121.592,5.2
Slovenia,20732.482,5.8
Spain,25864.721,6.4
Korea,27195.197,5.9
Italy,29866.581000000002,5.9
Japan,32485.545,5.9
Israel,35343.336,7.2
New Zealand,37044.891,7.3
France,37675.006,6.4
Belgium,40106.632000000005,6.9
Germany,40996.511,7.0
Finland,41973.988,7.5
Canada,43331.960999999996,7.3
Netherlands,43603.115,7.4
Austria,43724.030999999995,7.0
United Kingdom,43770.687999999995,6.7
Sweden,49866.265999999996,7.3
Iceland,50854.583,7.5
Australia,50961.865,7.3
Ireland,51350.744000000006,7.0
1Estonia,17288.083,5.6
1Greece,18064.288,5.2
1Portugal,19121.592,5.2
1Slovenia,20732.482,5.8
1Spain,25864.721,6.4
1Korea,27195.197,5.9
1Italy,29866.581000000002,5.9
1Japan,32485.545,5.9
1Israel,35343.336,7.2
1New Zealand,37044.891,7.3
1France,37675.006,6.4
1Belgium,40106.632000000005,6.9
1Germany,40996.511,7.0
1Finland,41973.988,7.5
1Canada,43331.960999999996,7.3
1Netherlands,43603.115,7.4
1Austria,43724.030999999995,7.0
1United Kingdom,43770.687999999995,6.7
1Sweden,49866.265999999996,7.3
1Iceland,50854.583,7.5
1Australia,50961.865,7.3
1Ireland,51350.744000000006,7.0
2Estonia,17288.083,5.6
2Greece,18064.288,5.2
2Portugal,19121.592,5.2
2Slovenia,20732.482,5.8
2Spain,25864.721,6.4
2Korea,27195.197,5.9
2Italy,29866.581000000002,5.9
2Japan,32485.545,5.9
2Israel,35343.336,7.2
2New Zealand,37044.891,7.3
2France,37675.006,6.4
2Belgium,40106.632000000005,6.9
2Germany,40996.511,7.0
2Finland,41973.988,7.5
2Canada,43331.960999999996,7.3
2Netherlands,43603.115,7.4
2Austria,43724.030999999995,7.0
2United Kingdom,43770.687999999995,6.7
2Sweden,49866.265999999996,7.3
2Iceland,50854.583,7.5
2Australia,50961.865,7.3
2Ireland,51350.744000000006,7.0
3Estonia,17288.083,5.6
3Greece,18064.288,5.2
3Portugal,19121.592,5.2
3Slovenia,20732.482,5.8
3Spain,25864.721,6.4
3Korea,27195.197,5.9
3Italy,29866.581000000002,5.9
3Japan,32485.545,5.9
3Israel,35343.336,7.2
3New Zealand,37044.891,7.3
3France,37675.006,6.4
3Belgium,40106.632000000005,6.9
3Germany,40996.511,7.0
3Finland,41973.988,7.5
3Canada,43331.960999999996,7.3
3Netherlands,43603.115,7.4
3Austria,43724.030999999995,7.0
3United Kingdom,43770.687999999995,6.7
3Sweden,49866.265999999996,7.3
3Iceland,50854.583,7.5
3Australia,50961.865,7.3
3Ireland,51350.744000000006,7.0
